trial_id,attempt_idx,axis,sign,direction_label,x,y,perplexity
YL_positive_y_003_20260723_162436,6,y,1,positive_y,-4.0182686,17.126621,10
YL_positive_y_003_20260723_162436,7,y,1,positive_y,-4.81294,17.454128,10
YL_positive_y_003_20260723_162436,8,y,1,positive_y,-5.3553386,16.372059,10
YL_positive_y_003_20260723_162436,9,y,1,positive_y,-8.400668,17.034637,10
YL_positive_y_003_20260723_162436,10,y,1,positive_y,-8.965236,16.887367,10
YL_positive_y_003_20260723_162436,11,y,1,positive_y,-6.1360087,16.89374,10
YL_positive_y_003_20260723_162436,12,y,1,positive_y,-6.679236,17.272633,10
YL_positive_y_003_20260723_162436,13,y,1,positive_y,-7.862273,17.06333,10
YL_positive_z_001_20260723_161834,1,z,1,positive_z,-4.127615,3.0328357,10
YL_positive_z_001_20260723_161834,2,z,1,positive_z,-3.3494532,2.45569,10
YL_positive_z_001_20260723_161834,3,z,1,positive_z,-3.090608,2.0482428,10
YL_positive_z_001_20260723_161834,4,z,1,positive_z,-4.028193,2.2134287,10
YL_positive_z_001_20260723_161834,5,z,1,positive_z,-3.5699134,0.2943844,10
YL_positive_z_001_20260723_161834,6,z,1,positive_z,-3.6160328,0.79943395,10
YL_positive_z_001_20260723_161834,7,z,1,positive_z,-3.228451,-0.13648376,10
YL_positive_z_001_20260723_161834,8,z,1,positive_z,1.221263,-1.2132573,10
YL_positive_z_001_20260723_161834,9,z,1,positive_z,-1.825976,3.0709817,10
YL_positive_z_001_20260723_161834,10,z,1,positive_z,1.6333326,-2.5086403,10
YL_positive_z_001_20260723_161834,11,z,1,positive_z,-0.28656107,-0.90101594,10
YL_positive_z_001_20260723_161834,12,z,1,positive_z,0.8367642,-2.716051,10
YL_positive_z_001_20260723_161834,13,z,1,positive_z,2.58369,-4.6984234,10
YL_positive_z_001_20260723_161834,14,z,1,positive_z,1.8789582,-1.8935782,10
YL_positive_z_001_20260723_161834,15,z,1,positive_z,0.31343392,-0.42461562,10
YL_positive_z_001_20260723_161834,16,z,1,positive_z,13.18932,-1.5381067,10
YL_positive_z_001_20260723_161834,17,z,1,positive_z,0.2543693,0.5474715,10
YL_positive_z_001_20260723_161834,18,z,1,positive_z,2.2593832,-3.1749876,10
YL_positive_z_001_20260723_161834,19,z,1,positive_z,0.7825604,-3.424686,10
YL_positive_z_001_20260723_161834,20,z,1,positive_z,1.6431527,-3.986302,10
YL_positive_z_001_20260723_161834,21,z,1,positive_z,-0.678637,-0.2884888,10
