trial_id,axis,sign,direction_label,attempt_idx,n_eskin_frames,feature_sum,feature_peak
YL_positive_x_001_20260723_172701,x,1,positive_x,14,379,37329.87453825858,500.9023746701847
YL_positive_y_003_20260723_162436,y,1,positive_y,1,520,34981.65513461539,417.13653846153846
YL_positive_y_003_20260723_162436,y,1,positive_y,2,690,35139.808086956524,500.4413768115941
YL_positive_y_003_20260723_162436,y,1,positive_y,3,791,29095.619835651072,537.0036662452591
YL_positive_y_003_20260723_162436,y,1,positive_y,4,610,27052.365704918033,649.4754098360655
YL_positive_y_003_20260723_162436,y,1,positive_y,5,1023,34128.807096774195,505.52976539589434
YL_positive_y_003_20260723_162436,y,1,positive_y,6,650,30789.24658461539,521.3461538461539
YL_positive_y_003_20260723_162436,y,1,positive_y,7,847,30807.163364817,497.0944510035419
YL_positive_y_003_20260723_162436,y,1,positive_y,8,972,29965.321059670787,549.9506172839506
YL_positive_y_003_20260723_162436,y,1,positive_y,9,997,27352.107923771317,518.9336208625876
YL_positive_y_003_20260723_162436,y,1,positive_y,10,188,22334.747021276595,557.8291489361704
YL_positive_y_003_20260723_162436,y,1,positive_y,11,282,25642.340851063833,511.20319148936164
YL_positive_y_003_20260723_162436,y,1,positive_y,12,576,27373.714079861114,511.0377604166667
YL_positive_y_003_20260723_162436,y,1,positive_y,13,376,26353.040957446807,484.0274468085105
YL_positive_z_001_20260723_161834,z,1,positive_z,1,196,30889.787346938774,383.6887755102041
YL_positive_z_001_20260723_161834,z,1,positive_z,2,366,35652.06491803279,374.38524590163934
YL_positive_z_001_20260723_161834,z,1,positive_z,3,643,37216.061757387244,376.6454121306376
YL_positive_z_001_20260723_161834,z,1,positive_z,4,450,33069.79477777777,361.76222222222225
YL_positive_z_001_20260723_161834,z,1,positive_z,5,456,38587.13791666667,340.94789473684216
YL_positive_z_001_20260723_161834,z,1,positive_z,6,546,37809.52423076923,341.21457875457884
YL_positive_z_001_20260723_161834,z,1,positive_z,7,506,39703.93098814229,318.87549407114625
YL_positive_z_001_20260723_161834,z,1,positive_z,8,390,38638.562,322.88984615384624
YL_positive_z_001_20260723_161834,z,1,positive_z,9,321,29008.51308411215,347.3711526479751
YL_positive_z_001_20260723_161834,z,1,positive_z,10,328,38979.517896341466,311.1550000000001
YL_positive_z_001_20260723_161834,z,1,positive_z,11,346,37262.19557803468,385.5966473988439
YL_positive_z_001_20260723_161834,z,1,positive_z,12,329,38941.870516717325,346.08522796352577
YL_positive_z_001_20260723_161834,z,1,positive_z,13,445,41466.746831460674,329.52687640449443
YL_positive_z_001_20260723_161834,z,1,positive_z,14,401,39705.8240648379,322.2443890274314
YL_positive_z_001_20260723_161834,z,1,positive_z,15,486,35915.114465020575,316.6469958847737
YL_positive_z_001_20260723_161834,z,1,positive_z,16,760,17049.83355263158,244.16447368421052
YL_positive_z_001_20260723_161834,z,1,positive_z,17,323,31574.648359133123,304.3877399380805
YL_positive_z_001_20260723_161834,z,1,positive_z,18,462,37392.63430735931,334.0108225108225
YL_positive_z_001_20260723_161834,z,1,positive_z,19,648,41204.34538580247,392.658024691358
YL_positive_z_001_20260723_161834,z,1,positive_z,20,607,41391.12850082372,374.72308072487647
YL_positive_z_001_20260723_161834,z,1,positive_z,21,376,37336.9675,394.7421276595744
