trial_id,task_kind,target_force_n,rep_no,t_s,force_n,eskin_roi,emg_env
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.0933,0.2872666666666666,1224.3100000000002,66.00248413524403
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.0933,0.2872666666666666,1257.23,66.00248413524403
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.0933,0.2872666666666666,1227.3100000000002,66.00248413524403
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.0952,0.27097499999999997,1243.3100000000002,65.02779525168935
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.0952,0.27097499999999997,1226.3100000000002,65.02779525168935
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.0952,0.27097499999999997,1183.3200000000002,65.02779525168935
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.0952,0.27097499999999997,1281.3100000000002,65.02779525168935
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.0952,0.27097499999999997,1213.3300000000002,65.02779525168935
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.0952,0.27097499999999997,1160.3100000000002,65.02779525168935
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1014,0.27686,1218.3100000000002,64.18452579934964
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1014,0.27686,1218.0300000000002,64.18452579934964
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1014,0.27686,1209.8500000000001,64.18452579934964
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1014,0.27686,1260.3100000000002,64.18452579934964
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1014,0.27686,1278.3100000000002,64.18452579934964
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1055,0.26819459459459455,1211.3100000000002,64.58506328946805
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1065,0.26608108108108103,1254.3000000000002,64.27586040733814
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1065,0.26608108108108103,1220.6100000000001,64.27586040733814
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1065,0.26608108108108103,1220.4700000000003,64.27586040733814
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1088,0.26121999999999995,1196.4,64.42744469937446
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1088,0.26121999999999995,1185.4900000000002,64.42744469937446
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1088,0.26121999999999995,1208.3100000000002,64.42744469937446
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1088,0.26121999999999995,1204.3100000000002,64.42744469937446
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1088,0.26121999999999995,1256.3100000000002,64.42744469937446
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1088,0.26121999999999995,1229.3100000000002,64.42744469937446
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1088,0.26121999999999995,1230.63,64.42744469937446
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1088,0.26121999999999995,1229.3100000000002,64.42744469937446
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1088,0.26121999999999995,1228.3100000000002,64.42744469937446
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1088,0.26121999999999995,1256.3100000000002,64.42744469937446
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1088,0.26121999999999995,1282.2500000000002,64.42744469937446
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1088,0.26121999999999995,1254.3600000000001,64.42744469937446
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1088,0.26121999999999995,1270.3100000000002,64.42744469937446
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1088,0.26121999999999995,1231.3100000000002,64.42744469937446
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1088,0.26121999999999995,1205.42,64.42744469937446
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1088,0.26121999999999995,1200.3100000000002,64.42744469937446
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1211,0.2495,1210.3100000000002,65.38682044284737
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1211,0.2495,1242.8100000000002,65.38682044284737
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1211,0.2495,1207.3100000000002,65.38682044284737
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1211,0.2495,1257.4700000000003,65.38682044284737
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1211,0.2495,1187.3100000000002,65.38682044284737
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1211,0.2495,1233.3100000000002,65.38682044284737
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1211,0.2495,1225.3100000000002,65.38682044284737
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1211,0.2495,1250.3100000000002,65.38682044284737
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1211,0.2495,1234.13,65.38682044284737
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1211,0.2495,1239.3200000000002,65.38682044284737
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1211,0.2495,1267.4300000000003,65.38682044284737
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1211,0.2495,1196.3100000000002,65.38682044284737
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1211,0.2495,1240.3100000000002,65.38682044284737
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1211,0.2495,1192.46,65.38682044284737
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1211,0.2495,1264.3100000000002,65.38682044284737
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1211,0.2495,1216.23,65.38682044284737
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1211,0.2495,1166.3100000000002,65.38682044284737
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1211,0.2495,1245.3100000000002,65.38682044284737
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1211,0.2495,1221.3200000000002,65.38682044284737
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1211,0.2495,1229.4,65.38682044284737
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.137,0.27298,1294.42,63.426872901287275
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.137,0.27298,1229.3100000000002,63.426872901287275
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.137,0.27298,1258.3200000000002,63.426872901287275
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.137,0.27298,1258.4,63.426872901287275
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.137,0.27298,1220.3100000000002,63.426872901287275
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.137,0.27298,1188.8100000000002,63.426872901287275
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.137,0.27298,1272.3100000000002,63.426872901287275
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.137,0.27298,1235.3100000000002,63.426872901287275
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.137,0.27298,1167.4,63.426872901287275
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.137,0.27298,1254.3100000000002,63.426872901287275
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.137,0.27298,1180.3100000000002,63.426872901287275
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.137,0.27298,1215.3100000000002,63.426872901287275
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.137,0.27298,1237.3300000000002,63.426872901287275
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.137,0.27298,1231.3100000000002,63.426872901287275
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.137,0.27298,1227.23,63.426872901287275
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.137,0.27298,1226.3100000000002,63.426872901287275
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.137,0.27298,1225.3100000000002,63.426872901287275
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.137,0.27298,1241.3700000000001,63.426872901287275
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1532,0.26514,1245.7400000000002,55.69887183415825
PT_max_squeeze_001_20260722_153104,max_effort,,1,0.1532,0.26514,1176.3100000000002,55.69887183415825
